,id,name,abilities,color,shape,habitat,capture_chance,height,weight,poke_type,sprite
0,1,bulbasaur,"['overgrow', 'chlorophyll']",green,quadruped,grassland,0.18,7,69,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
1,2,ivysaur,"['overgrow', 'chlorophyll']",green,quadruped,grassland,0.18,10,130,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
2,3,venusaur,"['overgrow', 'chlorophyll']",green,quadruped,grassland,0.18,20,1000,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
3,4,charmander,"['blaze', 'solar-power']",red,upright,mountain,0.18,6,85,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
4,5,charmeleon,"['blaze', 'solar-power']",red,upright,mountain,0.18,11,190,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
5,6,charizard,"['blaze', 'solar-power']",red,upright,mountain,0.18,17,905,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
6,7,squirtle,"['torrent', 'rain-dish']",blue,upright,waters-edge,0.18,5,90,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
7,8,wartortle,"['torrent', 'rain-dish']",blue,upright,waters-edge,0.18,10,225,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
8,9,blastoise,"['torrent', 'rain-dish']",blue,upright,waters-edge,0.18,16,855,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
9,10,caterpie,"['shield-dust', 'run-away']",green,armor,forest,1.0,3,29,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
10,11,metapod,['shed-skin'],green,squiggle,forest,0.47,7,99,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
11,12,butterfree,"['compound-eyes', 'tinted-lens']",white,bug-wings,forest,0.18,11,320,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
12,13,weedle,"['shield-dust', 'run-away']",brown,armor,forest,1.0,3,32,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
13,14,kakuna,['shed-skin'],yellow,squiggle,forest,0.47,6,100,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
14,15,beedrill,"['swarm', 'sniper']",yellow,bug-wings,forest,0.18,10,295,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
15,16,pidgey,"['keen-eye', 'tangled-feet', 'big-pecks']",brown,wings,forest,1.0,3,18,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
16,17,pidgeotto,"['keen-eye', 'tangled-feet', 'big-pecks']",brown,wings,forest,0.47,11,300,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
