,id,name,color,habitat,shape,poke_type,capture_chance,height,weight,ability_0,ability_1,ability_2,sprite,description
0,1,bulbasaur,green,grassland,quadruped,grass,0.18,7,69,overgrow,chlorophyll,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,green quadruped bulbasaur who is of grass type and lives in grassland.
1,2,ivysaur,green,grassland,quadruped,grass,0.18,10,130,overgrow,chlorophyll,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,green quadruped ivysaur who is of grass type and lives in grassland.
2,3,venusaur,green,grassland,quadruped,grass,0.18,20,1000,overgrow,chlorophyll,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,green quadruped venusaur who is of grass type and lives in grassland.
3,4,charmander,red,mountain,upright,fire,0.18,6,85,blaze,solar-power,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,red upright charmander who is of fire type and lives in mountain.
4,5,charmeleon,red,mountain,upright,fire,0.18,11,190,blaze,solar-power,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,red upright charmeleon who is of fire type and lives in mountain.
5,6,charizard,red,mountain,upright,fire,0.18,17,905,blaze,solar-power,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,red upright charizard who is of fire type and lives in mountain.
6,7,squirtle,blue,waters-edge,upright,water,0.18,5,90,torrent,rain-dish,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,blue upright squirtle who is of water type and lives in waters-edge.
7,8,wartortle,blue,waters-edge,upright,water,0.18,10,225,torrent,rain-dish,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,blue upright wartortle who is of water type and lives in waters-edge.
8,9,blastoise,blue,waters-edge,upright,water,0.18,16,855,torrent,rain-dish,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,blue upright blastoise who is of water type and lives in waters-edge.
9,10,caterpie,green,forest,armor,bug,1.0,3,29,shield-dust,run-away,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,green armor caterpie who is of bug type and lives in forest.
10,11,metapod,green,forest,squiggle,bug,0.47,7,99,shed-skin,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,green squiggle metapod who is of bug type and lives in forest.
11,12,butterfree,white,forest,bug-wings,bug,0.18,11,320,compound-eyes,tinted-lens,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,white bug-wings butterfree who is of bug type and lives in forest.
12,13,weedle,brown,forest,armor,bug,1.0,3,32,shield-dust,run-away,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,brown armor weedle who is of bug type and lives in forest.
13,14,kakuna,yellow,forest,squiggle,bug,0.47,6,100,shed-skin,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,yellow squiggle kakuna who is of bug type and lives in forest.
14,15,beedrill,yellow,forest,bug-wings,bug,0.18,10,295,swarm,sniper,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,yellow bug-wings beedrill who is of bug type and lives in forest.
15,16,pidgey,brown,forest,wings,normal,1.0,3,18,keen-eye,tangled-feet,big-pecks,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,brown wings pidgey who is of normal type and lives in forest.
16,17,pidgeotto,brown,forest,wings,normal,0.47,11,300,keen-eye,tangled-feet,big-pecks,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,brown wings pidgeotto who is of normal type and lives in forest.
17,18,pidgeot,brown,forest,wings,normal,0.18,15,395,keen-eye,tangled-feet,big-pecks,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,brown wings pidgeot who is of normal type and lives in forest.
18,19,rattata,purple,grassland,quadruped,normal,1.0,3,35,run-away,guts,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,purple quadruped rattata who is of normal type and lives in grassland.
19,20,raticate,brown,grassland,quadruped,normal,0.5,7,185,run-away,guts,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,brown quadruped raticate who is of normal type and lives in grassland.
20,21,spearow,brown,rough-terrain,wings,normal,1.0,3,20,keen-eye,sniper,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,brown wings spearow who is of normal type and lives in rough-terrain.
21,22,fearow,brown,rough-terrain,wings,normal,0.35,12,380,keen-eye,sniper,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,brown wings fearow who is of normal type and lives in rough-terrain.
22,23,ekans,purple,grassland,squiggle,poison,1.0,20,69,intimidate,shed-skin,unnerve,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,purple squiggle ekans who is of poison type and lives in grassland.
23,24,arbok,purple,grassland,squiggle,poison,0.35,35,650,intimidate,shed-skin,unnerve,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,purple squiggle arbok who is of poison type and lives in grassland.
24,25,pikachu,yellow,forest,quadruped,electric,0.75,4,60,static,lightning-rod,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,yellow quadruped pikachu who is of electric type and lives in forest.
25,26,raichu,yellow,forest,upright,electric,0.29,8,300,static,lightning-rod,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,yellow upright raichu who is of electric type and lives in forest.
26,27,sandshrew,yellow,rough-terrain,upright,ground,1.0,6,120,sand-veil,sand-rush,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,yellow upright sandshrew who is of ground type and lives in rough-terrain.
27,28,sandslash,yellow,rough-terrain,upright,ground,0.35,10,295,sand-veil,sand-rush,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,yellow upright sandslash who is of ground type and lives in rough-terrain.
28,29,nidoran-f,blue,grassland,quadruped,poison,0.92,4,70,poison-point,rivalry,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,blue quadruped nidoran-f who is of poison type and lives in grassland.
29,30,nidorina,blue,grassland,quadruped,poison,0.47,8,200,poison-point,rivalry,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,blue quadruped nidorina who is of poison type and lives in grassland.
30,31,nidoqueen,blue,grassland,upright,poison,0.18,13,600,poison-point,rivalry,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,blue upright nidoqueen who is of poison type and lives in grassland.
31,32,nidoran-m,purple,grassland,quadruped,poison,0.92,5,90,poison-point,rivalry,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,purple quadruped nidoran-m who is of poison type and lives in grassland.
32,33,nidorino,purple,grassland,quadruped,poison,0.47,9,195,poison-point,rivalry,hustle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,purple quadruped nidorino who is of poison type and lives in grassland.
33,34,nidoking,purple,grassland,upright,poison,0.18,14,620,poison-point,rivalry,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,purple upright nidoking who is of poison type and lives in grassland.
34,35,clefairy,pink,mountain,upright,fairy,0.59,6,75,cute-charm,magic-guard,friend-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,pink upright clefairy who is of fairy type and lives in mountain.
35,36,clefable,pink,mountain,upright,fairy,0.1,13,400,cute-charm,magic-guard,unaware,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,pink upright clefable who is of fairy type and lives in mountain.
36,37,vulpix,brown,grassland,quadruped,fire,0.75,6,99,flash-fire,drought,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,brown quadruped vulpix who is of fire type and lives in grassland.
37,38,ninetales,yellow,grassland,quadruped,fire,0.29,11,199,flash-fire,drought,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,yellow quadruped ninetales who is of fire type and lives in grassland.
38,39,jigglypuff,pink,grassland,humanoid,normal,0.67,5,55,cute-charm,competitive,friend-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,pink humanoid jigglypuff who is of normal type and lives in grassland.
39,40,wigglytuff,pink,grassland,humanoid,normal,0.2,10,120,cute-charm,competitive,frisk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,pink humanoid wigglytuff who is of normal type and lives in grassland.
40,41,zubat,purple,cave,wings,poison,1.0,8,75,inner-focus,infiltrator,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,purple wings zubat who is of poison type and lives in cave.
41,42,golbat,purple,cave,wings,poison,0.35,16,550,inner-focus,infiltrator,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,purple wings golbat who is of poison type and lives in cave.
42,43,oddish,blue,grassland,legs,grass,1.0,5,54,chlorophyll,run-away,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,blue legs oddish who is of grass type and lives in grassland.
43,44,gloom,blue,grassland,humanoid,grass,0.47,8,86,chlorophyll,stench,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,blue humanoid gloom who is of grass type and lives in grassland.
44,45,vileplume,red,grassland,humanoid,grass,0.18,12,186,chlorophyll,effect-spore,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,red humanoid vileplume who is of grass type and lives in grassland.
45,46,paras,red,forest,armor,bug,0.75,3,54,effect-spore,dry-skin,damp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,red armor paras who is of bug type and lives in forest.
46,47,parasect,red,forest,armor,bug,0.29,10,295,effect-spore,dry-skin,damp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,red armor parasect who is of bug type and lives in forest.
47,48,venonat,purple,forest,humanoid,bug,0.75,10,300,compound-eyes,tinted-lens,run-away,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,purple humanoid venonat who is of bug type and lives in forest.
48,49,venomoth,purple,forest,bug-wings,bug,0.29,15,125,shield-dust,tinted-lens,wonder-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,purple bug-wings venomoth who is of bug type and lives in forest.
49,50,diglett,brown,cave,blob,ground,1.0,2,8,sand-veil,arena-trap,sand-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,brown blob diglett who is of ground type and lives in cave.
50,51,dugtrio,brown,cave,heads,ground,0.2,7,333,sand-veil,arena-trap,sand-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,brown heads dugtrio who is of ground type and lives in cave.
51,52,meowth,yellow,urban,quadruped,normal,1.0,4,42,pickup,technician,unnerve,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,yellow quadruped meowth who is of normal type and lives in urban.
52,53,persian,yellow,urban,quadruped,normal,0.35,10,320,limber,technician,unnerve,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,yellow quadruped persian who is of normal type and lives in urban.
53,54,psyduck,yellow,waters-edge,upright,water,0.75,8,196,damp,cloud-nine,swift-swim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,yellow upright psyduck who is of water type and lives in waters-edge.
54,55,golduck,blue,waters-edge,upright,water,0.29,17,766,damp,cloud-nine,swift-swim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,blue upright golduck who is of water type and lives in waters-edge.
55,56,mankey,brown,mountain,upright,fighting,0.75,5,280,vital-spirit,anger-point,defiant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,brown upright mankey who is of fighting type and lives in mountain.
56,57,primeape,brown,mountain,upright,fighting,0.29,10,320,vital-spirit,anger-point,defiant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,brown upright primeape who is of fighting type and lives in mountain.
57,58,growlithe,brown,grassland,quadruped,fire,0.75,7,190,intimidate,flash-fire,justified,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,brown quadruped growlithe who is of fire type and lives in grassland.
58,59,arcanine,brown,grassland,quadruped,fire,0.29,19,1550,intimidate,flash-fire,justified,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,brown quadruped arcanine who is of fire type and lives in grassland.
59,60,poliwag,blue,waters-edge,legs,water,1.0,6,124,water-absorb,damp,swift-swim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,blue legs poliwag who is of water type and lives in waters-edge.
60,61,poliwhirl,blue,waters-edge,humanoid,water,0.47,10,200,water-absorb,damp,swift-swim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,blue humanoid poliwhirl who is of water type and lives in waters-edge.
