iter	MultiClass
0	2.588127801
1	2.55629297
2	2.500688502
3	2.453174155
4	2.40858296
5	2.362645966
6	2.327352718
7	2.280037092
8	2.234784595
9	2.211272976
10	2.175214615
11	2.160209173
12	2.123544768
13	2.086592193
14	2.054198049
15	2.025347449
16	1.990980109
17	1.954602282
18	1.923948854
19	1.893712893
20	1.858668599
21	1.823054753
22	1.790934862
23	1.7628144
24	1.736366469
25	1.702266701
26	1.676075344
27	1.671002115
28	1.643143745
29	1.616429405
30	1.588862333
31	1.565501446
32	1.542413855
33	1.537837686
34	1.512150053
35	1.490213946
36	1.466083213
37	1.450599128
38	1.427776277
39	1.407258391
40	1.38538513
41	1.378691152
42	1.358841143
43	1.340349076
44	1.320536235
45	1.310163833
46	1.288713422
47	1.267322148
48	1.249579021
49	1.231496929
50	1.219724809
51	1.202074753
52	1.184298846
53	1.166702147
54	1.159599517
55	1.141647205
56	1.124575366
57	1.108786912
58	1.093865302
59	1.079298932
60	1.064919175
61	1.048404372
62	1.032746661
63	1.020437538
64	1.006644168
65	0.9943190588
66	0.9822007827
67	0.9670998444
68	0.9556081582
69	0.9427723566
70	0.9320032093
71	0.9195436059
72	0.9078238398
73	0.895730637
74	0.8858141523
75	0.8749464187
76	0.8638554356
77	0.8525639477
78	0.8415309363
79	0.8311154499
80	0.8221532893
81	0.8123527133
82	0.8021034543
83	0.794355659
84	0.7848509467
85	0.7758196008
86	0.7661950421
87	0.7574077215
88	0.7488657061
89	0.7402340798
90	0.731554733
91	0.723031651
92	0.7146070477
93	0.7071636367
94	0.6996312258
95	0.6918511005
96	0.6846157783
97	0.6768565757
98	0.6696913207
99	0.6626913994
100	0.6553474296
101	0.6477440254
102	0.6408597703
103	0.6336966954
104	0.6269945076
105	0.6200917267
106	0.6136503091
107	0.6080681799
108	0.6034010891
109	0.5971120113
110	0.5913703966
111	0.5852798238
112	0.5794421238
113	0.5740751542
114	0.5684281827
115	0.5627226555
116	0.5572501926
117	0.5519741641
118	0.5462417029
119	0.5409325995
120	0.5363114655
121	0.5316703805
122	0.5268411417
123	0.5219400085
124	0.5169470385
125	0.5120934437
126	0.50719502
127	0.5024139232
128	0.4978616761
129	0.4948095116
130	0.4923650828
131	0.4879433119
132	0.483406074
133	0.4806512115
134	0.4766748433
135	0.4726235618
136	0.4684413556
137	0.4644725925
138	0.4610646172
139	0.4578053344
140	0.4536725079
141	0.4499821378
142	0.4468127763
143	0.4430618399
144	0.4392961006
145	0.4355372484
146	0.431935435
147	0.4290165485
148	0.4258860343
149	0.4230568622
150	0.4196613417
151	0.4164480358
152	0.41335617
153	0.4100002624
154	0.406803328
155	0.4039635383
156	0.4006758043
157	0.3978429212
158	0.3948557115
159	0.3919691206
160	0.389267282
161	0.3869217792
162	0.3838302798
163	0.3807259631
164	0.3785258264
165	0.3756124915
166	0.3729154776
167	0.3707183671
168	0.3677995752
169	0.3651292542
170	0.3621789364
171	0.3597070048
172	0.3572114671
173	0.3544886469
174	0.3525256141
175	0.3499774893
176	0.3477509566
177	0.3451604077
178	0.3427147721
179	0.3405269692
180	0.3378669707
181	0.3361534012
182	0.3344959032
183	0.3324100773
184	0.329995327
185	0.3278740838
186	0.3255738335
187	0.3233324194
188	0.3212647024
189	0.3194434763
190	0.3177527147
191	0.3159152187
192	0.3138075143
193	0.3116944568
194	0.3100521664
195	0.308119293
196	0.3062811205
197	0.3041365806
198	0.3022870297
199	0.3002098126
200	0.2986813745
201	0.2967833905
202	0.2951232606
203	0.2931895138
204	0.2916048707
205	0.2903858195
206	0.288461468
207	0.2871310524
208	0.2860665208
209	0.2847944563
210	0.2829956715
211	0.2813928312
212	0.2796364671
213	0.2779106564
214	0.2771965544
215	0.2766417621
216	0.2751427884
217	0.273561001
218	0.2720148578
219	0.2703386448
220	0.2687349031
221	0.2678053806
222	0.2661349995
223	0.2645636975
224	0.2630042107
225	0.2620640233
226	0.2610323142
227	0.2596430777
228	0.2586451938
229	0.2575579556
230	0.2560892639
231	0.2547759702
232	0.2532266587
233	0.2516762899
234	0.2506497275
235	0.2501353388
236	0.2496877814
237	0.2481607221
238	0.2469538118
239	0.2456932531
240	0.2450210685
241	0.2439340877
242	0.2436185837
243	0.2429568472
244	0.2417656466
245	0.2403726613
246	0.2398553707
247	0.2390004602
248	0.2380199842
249	0.2379031239
250	0.237074388
251	0.2362309371
252	0.2347714339
253	0.233782706
254	0.2324471284
255	0.2314855605
256	0.2301601236
257	0.2288963056
258	0.2277784555
259	0.2269942498
260	0.2260374845
261	0.2250678378
262	0.2237900007
263	0.2225902518
264	0.22234309
265	0.221076964
266	0.2200177527
267	0.2189256877
268	0.2181168878
269	0.2177656598
270	0.2176481726
271	0.2165758191
272	0.2153624106
273	0.2142724539
274	0.2132581697
275	0.2131386792
276	0.2124524056
277	0.2115200653
278	0.2114312439
279	0.2102876599
280	0.2097510314
281	0.2088038829
282	0.2080501916
283	0.2071870052
284	0.2067958004
285	0.2063535507
286	0.2056156046
287	0.2052121298
288	0.2049381219
289	0.2044757794
290	0.2035847124
291	0.2025111077
292	0.2021180486
293	0.2019524004
294	0.2009320139
295	0.1999883019
296	0.1989981183
297	0.1987489317
298	0.1977610636
299	0.1975867195
300	0.1969138516
301	0.1965504222
302	0.1958058785
303	0.1951993432
304	0.1947768809
305	0.1945782876
306	0.1936672962
307	0.1936333753
308	0.1926469228
309	0.1919740213
310	0.1916322025
311	0.1915819709
312	0.1909268897
313	0.1905488931
314	0.1902328676
315	0.1899614558
316	0.1889972304
317	0.1885884528
318	0.1877832791
319	0.1870610533
320	0.1870116033
321	0.1865278379
322	0.1856996454
323	0.1854800689
324	0.1849700348
325	0.184167257
326	0.1835684577
327	0.1828911391
328	0.1822583716
329	0.1816216185
330	0.1808476349
331	0.1808151669
332	0.1802691569
333	0.1795544565
334	0.1792535268
335	0.1786595036
336	0.1784900854
337	0.1783972907
338	0.1783448599
339	0.1777027093
340	0.1775457632
341	0.1774603808
342	0.1771279987
343	0.1764374365
344	0.1759161613
345	0.1754019092
346	0.1747298567
347	0.1741624823
348	0.1740967095
349	0.1734365711
350	0.1730113333
351	0.1728041078
352	0.1722062918
353	0.1717860114
354	0.1713958173
355	0.1708281934
356	0.1705491593
357	0.1700160074
358	0.1693900613
359	0.1688508396
360	0.1688253399
361	0.167979144
362	0.167805609
363	0.1674701679
364	0.1668717704
365	0.166449189
366	0.1657070704
367	0.1649693639
368	0.1649385732
369	0.1642166132
370	0.1635222944
371	0.1632470465
372	0.1629082601
373	0.1628201156
374	0.1621849333
375	0.162135867
376	0.1617590366
377	0.1612056174
378	0.1607095868
379	0.1600068892
380	0.1599146036
381	0.159893352
382	0.1598122941
383	0.1591743494
384	0.1586348412
385	0.1582427006
386	0.1582239102
387	0.1576268915
388	0.1572641838
389	0.156615983
390	0.1564711887
391	0.1558931803
392	0.155308285
393	0.1546469253
394	0.1541237539
395	0.1534672796
396	0.153437391
397	0.1528511099
398	0.1523319823
399	0.1517652063
400	0.151303066
401	0.1507098221
402	0.1505364166
403	0.1503334943
404	0.1502568122
405	0.1497593983
406	0.1494271184
407	0.1493289514
408	0.1489686068
409	0.1488039871
410	0.1487161826
411	0.1481080214
412	0.1477643931
413	0.1471595111
414	0.1470810445
415	0.1465577028
416	0.1465365098
417	0.1460086007
418	0.1454931157
419	0.1454356249
420	0.1450534785
421	0.1448091569
422	0.144432191
423	0.1442892505
424	0.1437449283
425	0.1437116076
426	0.1432130948
427	0.1428336778
428	0.1427785111
429	0.142188829
430	0.1419889823
431	0.1417244595
432	0.1413380636
433	0.1408632838
434	0.1405017681
435	0.1398983491
436	0.1396767635
437	0.1396177217
438	0.1391005556
439	0.1390383935
440	0.1384758673
441	0.1379910799
442	0.1378319618
443	0.1373968563
444	0.1373140138
445	0.1368352973
446	0.1367706447
447	0.1367450692
448	0.13643253
449	0.1363560641
450	0.1360754737
451	0.1355531183
452	0.1352407095
453	0.1348252841
454	0.1347639101
455	0.1344981858
456	0.1342558362
457	0.1340161994
458	0.1335675288
459	0.1331529225
460	0.132893132
461	0.1327932246
462	0.1324023636
463	0.132121288
464	0.1319892331
465	0.1316628838
466	0.1316016605
467	0.1311291139
468	0.1308284544
469	0.1304865935
470	0.1303461744
471	0.1300160128
472	0.1298132513
473	0.1293894254
474	0.1288594227
475	0.1286248125
476	0.1283903892
477	0.1283450975
478	0.127831756
479	0.1273817345
480	0.1272238119
481	0.1271822263
482	0.1268045754
483	0.1267236217
484	0.1262779909
485	0.1260145871
486	0.1257184449
487	0.1255870229
488	0.1254665845
489	0.1251248771
490	0.1247875988
491	0.1244021794
492	0.1241369292
493	0.1236933374
494	0.1233121174
495	0.1228522563
496	0.1228112688
497	0.1225629056
498	0.1223736868
499	0.1219883622
