iter	Passed	Remaining
0	438	218726
1	446	111194
2	725	120185
3	960	119119
4	1464	145000
5	1874	154301
6	2261	159276
7	2728	167776
8	3065	167242
9	3102	152007
10	3655	162503
11	3675	149451
12	4027	150879
13	4475	155380
14	4827	156085
15	5221	157945
16	5630	159978
17	6083	162912
18	6480	164067
19	6822	163733
20	7269	165820
21	7695	167202
22	8163	169309
23	8486	168306
24	8969	170427
25	9308	169702
26	9682	169628
27	9688	163328
28	10064	163457
29	10483	164241
30	10770	162945
31	11136	162872
32	11555	163531
33	11561	158459
34	11918	158345
35	12307	158632
36	12777	159894
37	12832	156018
38	13165	155626
39	13518	155463
40	13859	155160
41	14158	154393
42	14574	154899
43	14977	155225
44	15446	156184
45	16023	158147
46	16373	157809
47	16750	157738
48	17140	157763
49	17472	157256
50	17934	157895
51	18299	157654
52	18711	157816
53	19140	158084
54	19156	154992
55	19504	154644
56	19983	155311
57	20406	155512
58	20800	155472
59	21155	155140
60	21622	155611
61	22147	156461
62	22602	156784
63	22934	156238
64	23270	155732
65	23639	155449
66	24113	155838
67	24600	156286
68	25004	156186
69	25507	156689
70	25927	156660
71	26235	155955
72	26608	155640
73	26958	155190
74	27348	154973
75	27750	154816
76	28298	155458
77	28839	156026
78	29286	156069
79	29809	156501
80	30383	157168
81	30772	156864
82	31278	157146
83	31737	157177
84	32271	157560
85	32744	157631
86	33144	157343
87	33560	157123
88	33913	156612
89	34332	156403
90	34815	156480
91	35262	156383
92	35664	156080
93	36098	155916
94	36571	155911
95	37063	155973
96	37658	156456
97	38110	156330
98	38568	156221
99	39047	156188
100	39449	155844
101	39991	156044
102	40489	156062
103	40970	156003
104	41461	155975
105	41970	156003
106	42541	156251
107	43110	156475
108	43491	156010
109	43901	155650
110	44305	155268
111	44840	155339
112	45295	155126
113	45714	154788
114	46224	154751
115	46730	154694
116	47288	154800
117	47762	154622
118	48259	154512
119	49011	155203
120	49867	156195
121	50371	156068
122	50881	155955
123	51783	157021
124	52374	157123
125	52829	156811
126	53338	156655
127	53788	156322
128	54604	157040
129	55071	156741
130	55140	155319
131	55686	155247
132	56199	155076
133	56579	154538
134	57069	154299
135	57518	153945
136	57925	153482
137	58427	153265
138	59030	153309
139	59614	153295
140	60100	153021
141	60676	152972
142	61055	152424
143	61558	152186
144	62095	152027
145	62584	151746
146	63017	151328
147	63423	150844
148	63820	150342
149	64273	149971
150	64759	149676
151	65254	149398
152	65658	148912
153	66118	148552
154	66545	148118
155	66966	147670
156	67411	147275
157	67824	146809
158	68455	146812
159	68824	146252
160	69340	146002
161	69835	145705
162	70257	145256
163	70718	144886
164	71043	144239
165	71495	143851
166	71964	143498
167	72407	143091
168	72855	142692
169	73345	142376
170	73803	141996
171	74312	141711
172	74746	141283
173	75227	140943
174	75662	140516
175	76055	140011
176	76446	139504
177	76886	139086
178	77339	138692
179	77698	138131
180	78091	137631
181	78492	137145
182	78890	136657
183	79338	136255
184	79774	135832
185	80368	135675
186	80820	135277
187	81308	134937
188	81719	134469
189	82172	134071
190	82656	133721
191	83163	133407
192	83557	132912
193	84063	132595
194	84426	132051
195	84949	131758
196	85423	131387
197	85907	131030
198	86475	130799
199	87057	130586
200	87396	130008
201	87866	129624
202	88391	129321
203	88948	129061
204	89342	128565
205	89701	128020
206	90216	127697
207	90654	127264
208	91084	126821
209	91452	126291
210	91939	125927
211	92331	125431
212	92791	125028
213	93200	124557
214	93550	124009
215	93917	123483
216	94398	123109
217	94752	122569
218	95197	122148
219	95599	121672
220	96009	121206
221	96365	120673
222	96859	120314
223	97372	119977
224	97852	119597
225	98299	119177
226	98695	118695
227	99137	118269
228	99720	118009
229	100266	117703
230	100805	117387
231	101291	117009
232	101761	116611
233	102224	116203
234	102630	115732
235	102995	115214
236	103028	114331
237	103481	113917
238	103920	113486
239	104406	113107
240	104748	112572
241	105142	112093
242	105641	111727
243	106066	111282
244	106478	110824
245	106864	110340
246	107288	109894
247	107755	109493
248	108227	109097
249	108631	108631
250	109009	108140
251	109357	107621
252	109789	107185
253	110282	106808
254	110745	106402
255	111192	105980
256	111726	105640
257	112142	105187
258	112464	104647
259	112823	104144
260	113259	103712
261	113624	103215
262	113991	102722
263	114316	102192
264	114700	101715
265	115141	101289
266	115554	100839
267	116011	100427
268	116466	100014
269	116913	99593
270	117295	99116
271	117787	98733
272	118246	98322
273	118729	97929
274	119128	97468
275	119573	97045
276	119998	96605
277	120419	96162
